Tanggal,NTU_Manggar,PH_Manggar,NTU_Teritip,PH_Teritip
2015-08-01,9.28,5.88,,
2015-08-02,9.38,5.6,,
2015-08-03,9.72,5.6,,
2015-08-04,9.59,5.73,,
2015-08-05,10.5,5.89,,
2015-08-06,9.7,5.92,,
2015-08-07,9.69,5.64,,
2015-08-08,9.55,5.68,,
2015-08-09,9.05,5.81,,
2015-08-10,9.31,5.69,,
2015-08-11,8.45,5.68,,
2015-08-12,8.56,5.61,,
2015-08-13,8.73,5.76,,
2015-08-14,7.84,5.82,,
2015-08-15,7.38,5.86,,
2015-08-16,7.21,5.9,,
2015-08-17,7.34,5.82,,
2015-08-18,8.08,5.85,,
2015-08-19,8.76,5.65,,
2015-08-20,9.32,5.54,,
2015-08-21,8.87,5.63,,
2015-08-22,8.91,5.67,,
2015-08-23,9.51,5.73,,
2015-08-24,8.92,5.8,,
2015-08-25,8.57,5.69,,
2015-08-26,8.25,5.88,,
2015-08-27,8.71,6,,
2015-08-28,8.04,5.84,,
2015-08-29,8.46,5.96,,
2015-08-30,8.26,5.98,,
2015-08-31,8.61,5.63,,
2015-09-01,8.59,5.64,,
2015-09-02,8.48,5.62,,
2015-09-03,8.44,5.97,,
2015-09-04,8.81,5.39,,
2015-09-05,8.87,5.52,,
2015-09-06,8.94,5.58,,
2015-09-07,8.63,5.78,,
2015-09-08,10,5.74,,
2015-09-09,9.58,5.93,,
2015-09-10,9.38,5.85,,
2015-09-11,9.08,5.94,,
2015-09-12,8.93,5.57,,
2015-09-13,8.96,5.4,,
2015-09-14,9.4,5.53,,
2015-09-15,9.38,5.56,,
2015-09-16,9.94,5.61,,
2015-09-17,10.7,5.74,,
2015-09-18,9.78,5.68,,
2015-09-19,10.5,5.61,,
2015-09-20,11.6,5.74,,
2015-09-21,10.7,5.71,,
2015-09-22,10.3,5.27,,
2015-09-23,10.6,5.67,,
2015-09-24,10.1,5.18,,
2015-09-25,10.9,5.18,,
2015-09-26,10.8,5.2,,
2015-09-27,11.7,5.38,,
2015-09-28,11,5.5,,
2015-09-29,10.4,5.46,,
2015-09-30,11.5,6.54,,
2015-10-01,10.8,5.48,,
2015-10-02,10.7,5.51,,
2015-10-03,10.1,5.72,,
2015-10-04,10.3,5.83,,
2015-10-05,9.45,5.86,,
2015-10-06,9.98,5.5,,
2015-10-07,10.2,5.27,,
2015-10-08,10.7,5.75,,
2015-10-09,10.8,5.23,,
2015-10-10,10.6,5.43,,
2015-10-11,10.2,5.41,,
2015-10-12,10.3,5.47,,
2015-10-13,9.71,6.05,,
2015-10-14,10.1,5.3,,
2015-10-15,9.75,5.78,,
2015-10-16,9.33,5.48,,
2015-10-17,9.25,5.66,,
2015-10-18,9.62,5.26,,
2015-10-19,9.8,5.36,,
2015-10-20,10.5,5.4,,
2015-10-21,11.2,5.5,,
2015-10-22,11.5,5.57,,
2015-10-23,10.6,5.55,,
2015-10-24,10.5,5.51,,
2015-10-25,11.2,5.55,,
2015-10-26,13.7,5.26,,
2015-10-27,11.8,5.49,,
2015-10-28,13,5.2,,
2015-10-29,15.2,5.57,,
2015-10-30,15.4,5.23,,
2015-10-31,15.4,5.13,,
2015-11-01,13.7,5.31,,
2015-11-02,14,5.14,,
2015-11-03,12.5,5.06,,
2015-11-04,11.6,5.22,,
2015-11-05,10.1,5.12,,
2015-11-06,10.1,5.2,,
2015-11-07,11.1,5.21,,
2015-11-08,10.5,5.51,,
2015-11-09,9.79,5.55,,
2015-11-10,10.3,5.55,,
2015-11-11,9.25,5.3,,
2015-11-12,10.6,5.27,,
2015-11-13,10.6,5.29,,
2015-11-14,11.6,5.26,,
2015-11-15,11.4,5.51,,
2015-11-16,9.82,5.23,,
2015-11-17,10.1,5.63,,
2015-11-18,11,5.73,,
2015-11-19,10.8,5.48,,
2015-11-20,12.6,5.47,,
2015-11-21,11.5,5.78,,
2015-11-22,11.8,5.44,,
2015-11-23,11.3,5.28,,
2015-11-24,10.9,5.4,,
2015-11-25,12,5.4,,
2015-11-26,11.4,5.61,,
2015-11-27,13,5.29,,
2015-11-28,13.3,5.41,,
2015-11-29,11.3,5.49,,
2015-12-01,11.5,5.64,,
2015-12-02,11.8,5.5,,
2015-12-03,12.7,5.64,,
2015-12-04,13.6,5.99,,
2015-12-05,13.5,5.41,,
2015-12-06,12.6,5.4,,
2015-12-07,11.6,5.45,,
2015-12-08,13.1,5.52,,
2015-12-09,12.3,5.49,,
2015-12-10,11.1,5.73,,
2015-12-11,18.3,5.6,,
